City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,berezovyy,51.6667,135.7,6.56,56,61,0.8,RU,1715116475
153,besni,37.6928,37.8611,10.7,59,3,3.77,TR,1715116475
154,anyama,5.4946,-4.0518,27.45,81,51,2.41,CI,1715116475
155,prado,-17.3411,-39.2208,25.29,86,0,2.59,BR,1715116382
156,guatrache,-37.6678,-63.5302,15.12,80,96,1.33,AR,1715116475
157,dedza,-14.3779,34.3332,14.06,63,0,0.79,MW,1715116475
158,west island,-12.1568,96.8225,26.99,78,1,5.14,CC,1715116475
159,hithadhoo,-0.6,73.0833,29.29,77,85,5.18,MV,1715116476
160,khanty-mansiysk,61.0042,69.0019,2.06,64,0,5.0,RU,1715116476
161,kuching,1.55,110.3333,26.12,94,20,0.0,MY,1715116476
162,badger,64.8,-147.5333,10.14,59,75,1.54,US,1715116476
163,iwaki,37.05,140.8833,15.98,82,100,3.11,JP,1715116476
164,saint-philippe,-21.3585,55.7679,22.77,75,39,5.68,RE,1715116476
165,jamestown,42.097,-79.2353,24.73,46,75,2.06,US,1715116476
166,belyye vody,42.4167,69.8333,17.62,44,64,6.45,KZ,1715116476
167,zhezqazghan,47.7833,67.7667,13.71,54,13,5.21,KZ,1715116476
168,extrema,-22.8547,-46.3183,20.23,78,6,2.57,BR,1715116477
169,puerto real,36.5282,-6.1901,20.34,64,0,2.06,ES,1715116477
170,acajutla,13.5928,-89.8275,31.03,66,72,4.07,SV,1715116477
171,kaduna,10.5222,7.4383,26.18,62,100,1.4,NG,1715116477
172,ixtapa,20.7,-105.2,27.57,65,100,5.14,MX,1715116477
173,seosan,36.7817,126.4522,8.98,79,100,3.03,KR,1715116477
174,tura,25.5198,90.2201,21.58,80,100,1.79,IN,1715116477
175,amos,48.5669,-78.1162,15.18,40,10,3.16,CA,1715116477
176,qarazhal,48.0078,70.7903,12.12,74,38,2.72,KZ,1715116478
177,daultala,33.1925,73.1413,25.95,30,0,1.98,PK,1715116478
178,magadan,59.5667,150.8,-0.26,98,98,2.65,RU,1715116478
179,enewetak,11.3474,162.3373,27.69,81,95,9.18,MH,1715116478
180,klyuchi,52.2667,79.1667,12.65,75,100,3.15,RU,1715116478
181,fale old settlement,-9.3852,-171.2468,29.01,78,75,4.31,TK,1715116478
182,shanwei,22.782,115.3475,24.51,82,100,1.36,CN,1715116478
183,shingu,33.7333,135.9833,15.01,81,99,2.47,JP,1715116478
184,vilhena,-12.7406,-60.1458,29.12,65,0,2.06,BR,1715116478
185,lerwick,60.1545,-1.1494,8.0,78,19,1.1,GB,1715116479
186,vila franca do campo,37.7167,-25.4333,18.27,99,8,3.76,PT,1715116479
187,santiago de cao,-7.9589,-79.2392,19.07,88,75,5.66,PE,1715116479
188,coeur d'alene,47.6777,-116.7805,14.41,44,75,5.66,US,1715116479
189,kununurra,-15.7667,128.7333,18.99,77,47,2.06,AU,1715116479
190,ornskoldsvik,63.2909,18.7153,0.53,69,100,1.03,SE,1715116479
191,constantia,44.1833,28.65,18.38,81,100,1.88,RO,1715116479
192,dzuunharaa,48.8523,106.4579,7.18,72,100,6.18,MN,1715116479
193,la passe,45.5549,-0.8967,14.13,88,0,3.01,FR,1715116479
194,port alfred,-33.5906,26.891,19.54,95,45,2.68,ZA,1715116480
195,usogorsk,63.4106,48.6872,-6.85,88,3,1.54,RU,1715116480
196,christchurch,-43.5333,172.6333,6.41,93,3,1.03,NZ,1715116318
197,solvang,34.5958,-120.1377,22.2,49,0,8.23,US,1715116480
198,gadzhiyevo,69.2551,33.3362,-4.84,71,97,3.61,RU,1715116480
199,olonkinbyen,70.9221,-8.7187,0.43,93,6,7.34,SJ,1715116480
200,bhamo,24.2667,97.2333,22.17,65,100,0.48,MM,1715116480
201,anantnag,33.7333,75.15,13.54,49,0,1.83,IN,1715116325
202,vilyuysk,63.7553,121.6247,2.78,85,86,4.47,RU,1715116480
203,yaren,-0.5472,166.916,28.79,73,100,3.84,NR,1715116481
204,puerto maldonado,-12.6,-69.1833,27.22,94,40,1.03,PE,1715116435
205,tommot,58.9564,126.2925,2.69,100,100,0.92,RU,1715116481
206,alice springs,-23.7,133.8833,11.75,82,91,2.06,AU,1715116481
207,itoman,26.1247,127.6694,22.01,83,75,2.06,JP,1715116481
208,inebolu,41.9747,33.7608,12.53,54,0,2.77,TR,1715116481
209,hammerfest,70.6634,23.6821,-1.75,69,0,1.54,NO,1715116481
210,dudinka,69.4058,86.1778,-14.66,100,93,2.19,RU,1715116482
211,lubawa,53.5043,19.7497,3.62,82,43,3.66,PL,1715116482
212,metlili chaamba,32.2667,3.6333,27.52,20,40,1.54,DZ,1715116482
213,val-d'or,48.1002,-77.7828,17.05,36,40,6.17,CA,1715116482
214,korla,41.7597,86.1469,23.5,15,100,1.95,CN,1715116482
215,kone,-21.0595,164.8658,21.52,75,10,1.26,NC,1715116482
216,saint-pierre,-21.3393,55.4781,22.82,56,0,5.14,RE,1715116425
217,skelleftea,64.7507,20.9528,-2.78,83,18,2.06,SE,1715116482
218,san antonio de pale,-1.4014,5.6325,27.46,83,100,2.13,GQ,1715116483
219,sheringham,52.9408,1.2093,11.17,94,27,3.6,GB,1715116483
220,puerto madryn,-42.7692,-65.0385,15.69,63,100,6.99,AR,1715116483
221,ziro,27.6333,93.8333,10.35,96,69,0.8,IN,1715116483
222,capiovi,-26.93,-55.0608,24.84,64,2,2.22,AR,1715116483
223,bardai,11.65,7.2333,29.0,44,99,4.01,NG,1715116483
224,bodo,67.28,14.405,5.43,56,0,11.32,NO,1715116416
225,amalapuram,16.5833,82.0167,26.66,85,99,1.33,IN,1715116483
226,kodinsk,58.6881,99.1844,2.47,89,29,1.24,RU,1715116483
227,ardakan,32.31,54.0175,24.11,32,86,3.09,IR,1715116484
228,vadso,70.0744,29.7487,-1.91,93,75,5.66,NO,1715116374
229,regina,50.4501,-104.6178,10.06,85,100,9.77,CA,1715116318
230,egilsstadir,65.2653,-14.3948,6.95,65,75,4.63,IS,1715116484
231,tidjikja,18.5564,-11.4271,33.45,8,10,1.45,MR,1715116481
232,valozhyn,54.0909,26.5225,2.95,62,3,1.47,BY,1715116484
233,khovd,48.0056,91.6419,11.1,51,85,0.69,MN,1715116484
234,puerto santa,-8.9906,-78.6456,20.65,82,97,5.99,PE,1715116484
235,east falmouth,41.5784,-70.5586,23.23,68,6,2.68,US,1715116484
236,la sarre,48.8002,-79.1996,15.66,39,32,2.97,CA,1715116309
237,makuyuni,-4.7333,38.1,20.57,96,93,1.72,TZ,1715116485
